Phone,Email,BusinessName,TamilName,City,Province,Category,Website,Instagram,Facebook,TikTok,ClaimURL,WALink,Message
"+15147338844","contact@montrealtamillegal.ca","Montreal Tamil Legal & Super Visa Center","மான்ட்ரியல் தமிழ் சட்ட மையம் (வழக்கறிஞர்)","Montreal","QC","legal-immigration","https://montrealtamillegal.ca","","","","https://tamil-pages-961fd.web.app/claim/montreal-tamil-legal-visa-center","https://wa.me/15147338844?text=%E0%AE%B5%E0%AE%A3%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D%20Montreal%20Tamil%20Legal%20%26%20Super%20Visa%20Center!%20%F0%9F%8D%81%0A%0AYour%20business%20profile%20is%20featured%20on%20TamilPages.ca%20%E2%80%94%20Canada's%20%231%20Tamil%20Community%20Directory.%0A%0AOver%2040%2B%20people%20in%20Montreal%20searched%20for%20legal%20immigration%20this%20week.%0A%0AClaim%20your%20official%20listing%20%26%20unlock%20customer%20call%20inquiries%20for%20free%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fclaim%2Fmontreal-tamil-legal-visa-center%0A%0AView%20your%20public%20listing%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fdirectory%2Fmontreal-tamil-legal-visa-center%0A%0A(Takes%2030%20seconds%20%C2%B7%20100%25%20Free%20%C2%B7%20Verified%20Canadian%20Directory)","வணக்கம் Montreal Tamil Legal & Super Visa Center! 🍁 \n  \n Your business profile is featured on TamilPages.ca — Canada's #1 Tamil Community Directory. \n  \n Over 40+ people in Montreal searched for legal immigration this week. \n  \n Claim your official listing & unlock customer call inquiries for free: \n 👉 https://tamil-pages-961fd.web.app/claim/montreal-tamil-legal-visa-center \n  \n View your public listing: \n 👉 https://tamil-pages-961fd.web.app/directory/montreal-tamil-legal-visa-center \n  \n (Takes 30 seconds · 100% Free · Verified Canadian Directory)"
"+16045827711","info@surreytamilimmigration.ca","Surrey Tamil Immigration & Notary Services","சர்ரே தமிழ் குடிவரவு & வழக்கறிஞர் சேவை","Surrey","BC","legal-immigration","https://surreytamilimmigration.ca","","","","https://tamil-pages-961fd.web.app/claim/surrey-tamil-immigration-counsel","https://wa.me/16045827711?text=%E0%AE%B5%E0%AE%A3%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D%20Surrey%20Tamil%20Immigration%20%26%20Notary%20Services!%20%F0%9F%8D%81%0A%0AYour%20business%20profile%20is%20featured%20on%20TamilPages.ca%20%E2%80%94%20Canada's%20%231%20Tamil%20Community%20Directory.%0A%0AOver%2040%2B%20people%20in%20Surrey%20searched%20for%20legal%20immigration%20this%20week.%0A%0AClaim%20your%20official%20listing%20%26%20unlock%20customer%20call%20inquiries%20for%20free%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fclaim%2Fsurrey-tamil-immigration-counsel%0A%0AView%20your%20public%20listing%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fdirectory%2Fsurrey-tamil-immigration-counsel%0A%0A(Takes%2030%20seconds%20%C2%B7%20100%25%20Free%20%C2%B7%20Verified%20Canadian%20Directory)","வணக்கம் Surrey Tamil Immigration & Notary Services! 🍁 \n  \n Your business profile is featured on TamilPages.ca — Canada's #1 Tamil Community Directory. \n  \n Over 40+ people in Surrey searched for legal immigration this week. \n  \n Claim your official listing & unlock customer call inquiries for free: \n 👉 https://tamil-pages-961fd.web.app/claim/surrey-tamil-immigration-counsel \n  \n View your public listing: \n 👉 https://tamil-pages-961fd.web.app/directory/surrey-tamil-immigration-counsel \n  \n (Takes 30 seconds · 100% Free · Verified Canadian Directory)"
"+19054779911","info@manolegal.ca","Mano & Partners Canadian Immigration Lawyers","மனோ அண்ட் பார்ட்னர்ஸ் குடிவரவு வழக்கறிஞர்கள்","Markham","ON","legal-immigration","https://manolegal.ca","","","","https://tamil-pages-961fd.web.app/claim/mano-partners-immigration-law","https://wa.me/19054779911?text=%E0%AE%B5%E0%AE%A3%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D%20Mano%20%26%20Partners%20Canadian%20Immigration%20Lawyers!%20%F0%9F%8D%81%0A%0AYour%20business%20profile%20is%20featured%20on%20TamilPages.ca%20%E2%80%94%20Canada's%20%231%20Tamil%20Community%20Directory.%0A%0AOver%2040%2B%20people%20in%20Markham%20searched%20for%20legal%20immigration%20this%20week.%0A%0AClaim%20your%20official%20listing%20%26%20unlock%20customer%20call%20inquiries%20for%20free%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fclaim%2Fmano-partners-immigration-law%0A%0AView%20your%20public%20listing%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fdirectory%2Fmano-partners-immigration-law%0A%0A(Takes%2030%20seconds%20%C2%B7%20100%25%20Free%20%C2%B7%20Verified%20Canadian%20Directory)","வணக்கம் Mano & Partners Canadian Immigration Lawyers! 🍁 \n  \n Your business profile is featured on TamilPages.ca — Canada's #1 Tamil Community Directory. \n  \n Over 40+ people in Markham searched for legal immigration this week. \n  \n Claim your official listing & unlock customer call inquiries for free: \n 👉 https://tamil-pages-961fd.web.app/claim/mano-partners-immigration-law \n  \n View your public listing: \n 👉 https://tamil-pages-961fd.web.app/directory/mano-partners-immigration-law \n  \n (Takes 30 seconds · 100% Free · Verified Canadian Directory)"
"+14164381122","info@sivanesanlaw.ca","Sivanesan & Associates Barristers & Solicitors","சிவனேசன் அண்ட் அசோசியேட்ஸ் வழக்கறிஞர்கள்","Scarborough","ON","legal-immigration","https://sivanesanlaw.ca","","","","https://tamil-pages-961fd.web.app/claim/sivanesan-associates-law-firm","https://wa.me/14164381122?text=%E0%AE%B5%E0%AE%A3%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D%20Sivanesan%20%26%20Associates%20Barristers%20%26%20Solicitors!%20%F0%9F%8D%81%0A%0AYour%20business%20profile%20is%20featured%20on%20TamilPages.ca%20%E2%80%94%20Canada's%20%231%20Tamil%20Community%20Directory.%0A%0AOver%2040%2B%20people%20in%20Scarborough%20searched%20for%20legal%20immigration%20this%20week.%0A%0AClaim%20your%20official%20listing%20%26%20unlock%20customer%20call%20inquiries%20for%20free%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fclaim%2Fsivanesan-associates-law-firm%0A%0AView%20your%20public%20listing%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fdirectory%2Fsivanesan-associates-law-firm%0A%0A(Takes%2030%20seconds%20%C2%B7%20100%25%20Free%20%C2%B7%20Verified%20Canadian%20Directory)","வணக்கம் Sivanesan & Associates Barristers & Solicitors! 🍁 \n  \n Your business profile is featured on TamilPages.ca — Canada's #1 Tamil Community Directory. \n  \n Over 40+ people in Scarborough searched for legal immigration this week. \n  \n Claim your official listing & unlock customer call inquiries for free: \n 👉 https://tamil-pages-961fd.web.app/claim/sivanesan-associates-law-firm \n  \n View your public listing: \n 👉 https://tamil-pages-961fd.web.app/directory/sivanesan-associates-law-firm \n  \n (Takes 30 seconds · 100% Free · Verified Canadian Directory)"
"+14162938822","contact@gtatamillegal.ca","GTA Tamil Immigration & Legal Counsel","ஜிடிஏ தமிழ் குடிவரவு சட்ட மையம் (வழக்கறிஞர்)","Scarborough","ON","legal-immigration","https://gtatamillegal.ca","","","","https://tamil-pages-961fd.web.app/claim/gta-tamil-immigration-legal-counsel","https://wa.me/14162938822?text=%E0%AE%B5%E0%AE%A3%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D%20GTA%20Tamil%20Immigration%20%26%20Legal%20Counsel!%20%F0%9F%8D%81%0A%0AYour%20business%20profile%20is%20featured%20on%20TamilPages.ca%20%E2%80%94%20Canada's%20%231%20Tamil%20Community%20Directory.%0A%0AOver%2040%2B%20people%20in%20Scarborough%20searched%20for%20legal%20immigration%20this%20week.%0A%0AClaim%20your%20official%20listing%20%26%20unlock%20customer%20call%20inquiries%20for%20free%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fclaim%2Fgta-tamil-immigration-legal-counsel%0A%0AView%20your%20public%20listing%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fdirectory%2Fgta-tamil-immigration-legal-counsel%0A%0A(Takes%2030%20seconds%20%C2%B7%20100%25%20Free%20%C2%B7%20Verified%20Canadian%20Directory)","வணக்கம் GTA Tamil Immigration & Legal Counsel! 🍁 \n  \n Your business profile is featured on TamilPages.ca — Canada's #1 Tamil Community Directory. \n  \n Over 40+ people in Scarborough searched for legal immigration this week. \n  \n Claim your official listing & unlock customer call inquiries for free: \n 👉 https://tamil-pages-961fd.web.app/claim/gta-tamil-immigration-legal-counsel \n  \n View your public listing: \n 👉 https://tamil-pages-961fd.web.app/directory/gta-tamil-immigration-legal-counsel \n  \n (Takes 30 seconds · 100% Free · Verified Canadian Directory)"
"+17789305868","","Ceylon Dine","சிலோன்","Abbotsford","BC","restaurants-takeout","","","","","https://tamil-pages-961fd.web.app/claim/ceylon-dine","https://wa.me/17789305868?text=%E0%AE%B5%E0%AE%A3%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D%20Ceylon%20Dine!%20%F0%9F%8D%81%0A%0AYour%20business%20profile%20is%20featured%20on%20TamilPages.ca%20%E2%80%94%20Canada's%20%231%20Tamil%20Community%20Directory.%0A%0AOver%2040%2B%20people%20in%20Abbotsford%20searched%20for%20restaurants%20takeout%20this%20week.%0A%0AClaim%20your%20official%20listing%20%26%20unlock%20customer%20call%20inquiries%20for%20free%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fclaim%2Fceylon-dine%0A%0AView%20your%20public%20listing%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fdirectory%2Fceylon-dine%0A%0A(Takes%2030%20seconds%20%C2%B7%20100%25%20Free%20%C2%B7%20Verified%20Canadian%20Directory)","வணக்கம் Ceylon Dine! 🍁 \n  \n Your business profile is featured on TamilPages.ca — Canada's #1 Tamil Community Directory. \n  \n Over 40+ people in Abbotsford searched for restaurants takeout this week. \n  \n Claim your official listing & unlock customer call inquiries for free: \n 👉 https://tamil-pages-961fd.web.app/claim/ceylon-dine \n  \n View your public listing: \n 👉 https://tamil-pages-961fd.web.app/directory/ceylon-dine \n  \n (Takes 30 seconds · 100% Free · Verified Canadian Directory)"
"+16045044410","","Dosa Club","தோசை","Abbotsford","BC","restaurants-takeout","http://www.dosaclub.ca/","","","","https://tamil-pages-961fd.web.app/claim/dosa-club","https://wa.me/16045044410?text=%E0%AE%B5%E0%AE%A3%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D%20Dosa%20Club!%20%F0%9F%8D%81%0A%0AYour%20business%20profile%20is%20featured%20on%20TamilPages.ca%20%E2%80%94%20Canada's%20%231%20Tamil%20Community%20Directory.%0A%0AOver%2040%2B%20people%20in%20Abbotsford%20searched%20for%20restaurants%20takeout%20this%20week.%0A%0AClaim%20your%20official%20listing%20%26%20unlock%20customer%20call%20inquiries%20for%20free%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fclaim%2Fdosa-club%0A%0AView%20your%20public%20listing%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fdirectory%2Fdosa-club%0A%0A(Takes%2030%20seconds%20%C2%B7%20100%25%20Free%20%C2%B7%20Verified%20Canadian%20Directory)","வணக்கம் Dosa Club! 🍁 \n  \n Your business profile is featured on TamilPages.ca — Canada's #1 Tamil Community Directory. \n  \n Over 40+ people in Abbotsford searched for restaurants takeout this week. \n  \n Claim your official listing & unlock customer call inquiries for free: \n 👉 https://tamil-pages-961fd.web.app/claim/dosa-club \n  \n View your public listing: \n 👉 https://tamil-pages-961fd.web.app/directory/dosa-club \n  \n (Takes 30 seconds · 100% Free · Verified Canadian Directory)"
"+19056199090","","Amiirtham South Indian Restaurant","","Ajax","ON","restaurants-takeout","https://www.amiirtham.ca/","","","","https://tamil-pages-961fd.web.app/claim/amiirtham-south-indian-restaurant","https://wa.me/19056199090?text=%E0%AE%B5%E0%AE%A3%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D%20Amiirtham%20South%20Indian%20Restaurant!%20%F0%9F%8D%81%0A%0AYour%20business%20profile%20is%20featured%20on%20TamilPages.ca%20%E2%80%94%20Canada's%20%231%20Tamil%20Community%20Directory.%0A%0AOver%2040%2B%20people%20in%20Ajax%20searched%20for%20restaurants%20takeout%20this%20week.%0A%0AClaim%20your%20official%20listing%20%26%20unlock%20customer%20call%20inquiries%20for%20free%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fclaim%2Famiirtham-south-indian-restaurant%0A%0AView%20your%20public%20listing%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fdirectory%2Famiirtham-south-indian-restaurant%0A%0A(Takes%2030%20seconds%20%C2%B7%20100%25%20Free%20%C2%B7%20Verified%20Canadian%20Directory)","வணக்கம் Amiirtham South Indian Restaurant! 🍁 \n  \n Your business profile is featured on TamilPages.ca — Canada's #1 Tamil Community Directory. \n  \n Over 40+ people in Ajax searched for restaurants takeout this week. \n  \n Claim your official listing & unlock customer call inquiries for free: \n 👉 https://tamil-pages-961fd.web.app/claim/amiirtham-south-indian-restaurant \n  \n View your public listing: \n 👉 https://tamil-pages-961fd.web.app/directory/amiirtham-south-indian-restaurant \n  \n (Takes 30 seconds · 100% Free · Verified Canadian Directory)"
"+14162982219","info@canbefoods.com","Canbe Foods","கேன்பீ உணவுகள்","Ajax","ON","grocery-supermarkets","http://www.canbefoods.com/","","","","https://tamil-pages-961fd.web.app/claim/canbe-foods","https://wa.me/14162982219?text=%E0%AE%B5%E0%AE%A3%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D%20Canbe%20Foods!%20%F0%9F%8D%81%0A%0AYour%20business%20profile%20is%20featured%20on%20TamilPages.ca%20%E2%80%94%20Canada's%20%231%20Tamil%20Community%20Directory.%0A%0AOver%2040%2B%20people%20in%20Ajax%20searched%20for%20grocery%20supermarkets%20this%20week.%0A%0AClaim%20your%20official%20listing%20%26%20unlock%20customer%20call%20inquiries%20for%20free%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fclaim%2Fcanbe-foods%0A%0AView%20your%20public%20listing%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fdirectory%2Fcanbe-foods%0A%0A(Takes%2030%20seconds%20%C2%B7%20100%25%20Free%20%C2%B7%20Verified%20Canadian%20Directory)","வணக்கம் Canbe Foods! 🍁 \n  \n Your business profile is featured on TamilPages.ca — Canada's #1 Tamil Community Directory. \n  \n Over 40+ people in Ajax searched for grocery supermarkets this week. \n  \n Claim your official listing & unlock customer call inquiries for free: \n 👉 https://tamil-pages-961fd.web.app/claim/canbe-foods \n  \n View your public listing: \n 👉 https://tamil-pages-961fd.web.app/directory/canbe-foods \n  \n (Takes 30 seconds · 100% Free · Verified Canadian Directory)"
"+19055503312","","Kerala Hut Ajax","ஹட்","Ajax","ON","restaurants-takeout","","","","","https://tamil-pages-961fd.web.app/claim/kerala-hut-ajax","https://wa.me/19055503312?text=%E0%AE%B5%E0%AE%A3%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D%20Kerala%20Hut%20Ajax!%20%F0%9F%8D%81%0A%0AYour%20business%20profile%20is%20featured%20on%20TamilPages.ca%20%E2%80%94%20Canada's%20%231%20Tamil%20Community%20Directory.%0A%0AOver%2040%2B%20people%20in%20Ajax%20searched%20for%20restaurants%20takeout%20this%20week.%0A%0AClaim%20your%20official%20listing%20%26%20unlock%20customer%20call%20inquiries%20for%20free%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fclaim%2Fkerala-hut-ajax%0A%0AView%20your%20public%20listing%3A%0A%F0%9F%91%89%20https%3A%2F%2Ftamil-pages-961fd.web.app%2Fdirectory%2Fkerala-hut-ajax%0A%0A(Takes%2030%20seconds%20%C2%B7%20100%25%20Free%20%C2%B7%20Verified%20Canadian%20Directory)","வணக்கம் Kerala Hut Ajax! 🍁 \n  \n Your business profile is featured on TamilPages.ca — Canada's #1 Tamil Community Directory. \n  \n Over 40+ people in Ajax searched for restaurants takeout this week. \n  \n Claim your official listing & unlock customer call inquiries for free: \n 👉 https://tamil-pages-961fd.web.app/claim/kerala-hut-ajax \n  \n View your public listing: \n 👉 https://tamil-pages-961fd.web.app/directory/kerala-hut-ajax \n  \n (Takes 30 seconds · 100% Free · Verified Canadian Directory)"
