name,category,address,city,province,postal,phone,whatsapp,email,website,facebook,Instagram,other_social,source_url,source
KSG PEST CONTROL INC,Home Services,Zenway Blvd,Vaughan,Ontario,,647-990-3205,,,https://ksgpestcontrol.ca,,,,https://www.tamilbusinessdirectory.com/canada/vaughan/home-services/ksg-pest-control-inc,tamilbusinessdirectory.com
Luxury Bridal,Wedding Party Services,,Ajax,Ontario,,416-876-7055,,,https://luxurybridal.ca/,https://www.facebook.com/luxurybridalca/,https://www.instagram.com/luxurybridalca/,,https://www.tamilbusinessdirectory.com/canada/ajax/wedding-party-services/luxury-bridal,tamilbusinessdirectory.com
Luxury Cakes,Wedding Party Services,10 Whitlock Crescent,Ajax,Ontario,L1Z 2B1,416-847-5798,,,http://LuxuryCakes.CA,https://www.facebook.com/LuxuryCakesCA-143297539041481/,https://www.instagram.com/luxurycakesca,,https://www.tamilbusinessdirectory.com/canada/ajax/wedding-party-services/luxury-cakes,tamilbusinessdirectory.com
Super Visa for Parents and Grandparents,Insurance Agents Financial Consultant,10 Milner Business Court,Toronto,Ontario,M1B 3C6,4169045597,,,,,,,https://www.tamilbusinessdirectory.com/canada/toronto/insurance-agents-financial-consultant/super-visa-for-parents-and-grandparents,tamilbusinessdirectory.com
Tamilnadu Community Centre - Canada,Associations Community Services,31 Progress Ave,Toronto,Ontario,M1P 4S6,416880-6051,,,https://www.canadatamilsangam.com/,https://www.facebook.com/TamilnaduCentre/,,,https://www.tamilbusinessdirectory.com/canada/toronto/associations-community-services/tamilnadu-community-centre-canada,tamilbusinessdirectory.com
Toronto Tamil Sangam.,Associations Community Services,5633 Finch Ave E,Toronto,Ontario,M1B 5K9,001-416-822-6316,,,http://torontotamilsangam.ca/,https://www.facebook.com/torontotamilsangam/,,https://twitter.com/torontosangam | https://www.youtube.com/channel/UC-jEMiRmyJ-nfqGB2NFTxmQ,https://www.tamilbusinessdirectory.com/canada/toronto/associations-community-services/toronto-tamil-sangam,tamilbusinessdirectory.com
Electrician Praba,Home Services,,Scarborough,Ontario,,416-829-2556,,,,,,,https://www.tamilbusinessdirectory.com/ontario/scarborough/home-services/electrician-praba,tamilbusinessdirectory.com
Sivage Sivagumaran | Toronto Real Estate Broker,Real Estate,305 Milner Ave Unit # 312,Toronto,Ontario,M1B 3V4,416-553-8902,https://api.whatsapp.com/send/?phone=14165538902&text&type=phone_number&app_absent=0,,https://www.sivage.ca,https://www.facebook.com/RealtorSivage,https://www.instagram.com/realtorsivage/,https://twitter.com/RealtorSivage | https://www.linkedin.com/in/sivage/ | https://www.youtube.com/channel/UCaqf6B2dZiii1m5ivbotvoA | https://www.tiktok.com/@realtorsivage | https://calendly.com/realtorsivage | https://www.pinterest.ca/RealtorSivage/_saved/ | https://www.snapchat.com/add/sivagehomes | https://sivagesivagumaran.remax-crossroads-on.ca/,https://www.tamilbusinessdirectory.com/canada/toronto/real-estate/sivage-sivagumaran-toronto-real-estate-broker,tamilbusinessdirectory.com
"""Jaffna Parents Care services"" doctor's home visit",Jaffna Parents Care Services Doctor S Home Visit,,Toronto,Ontario,L6S 2N6,6473939773,,,,,,,https://www.tamilbusinessdirectory.com/canada/health-medicine/jaffna-parents-care-services-doctor-s-home-visit,tamilbusinessdirectory.com
# 1 Peel Pest Control,Home Services,,Scarborough,Ontario,,9052303657,,,,,,,https://www.tamilbusinessdirectory.com/canada/scarborough/home-services/1-peel-pest-control,tamilbusinessdirectory.com
##1 AA Plus Carpet Cleaners & Duct Cleaners,1 Aa Plus Carpet Cleaners Duct Cleaners,"100 Haslam Street, Scarborough, ON, M1N3N7",Toronto,Ontario,,416-717-8979,,,,,,,https://www.tamilbusinessdirectory.com/canada/home-services/1-aa-plus-carpet-cleaners-duct-cleaners,tamilbusinessdirectory.com
#1 A & G Plumbing & Maintenance,1 A G Plumbing Maintenance,"Toronto, Ontario M3A 2A2",Toronto,Ontario,,416-431-3322,,,,,,,https://www.tamilbusinessdirectory.com/canada/home-services/1-a-g-plumbing-maintenance,tamilbusinessdirectory.com
#1 AA Duct Cleaning,1 Aa Duct Cleaning,,Toronto,Ontario,,,,,,,,,https://www.tamilbusinessdirectory.com/canada/home-services/1-aa-duct-cleaning,tamilbusinessdirectory.com
#1 ASX Transport 01,1 Asx Transport 01,"766 MEADOWVALE ROAD, SCAROROUGH, ONTARIO, M1C 1T2",Toronto,Ontario,,416-939-4381,,,,,,,https://www.tamilbusinessdirectory.com/canada/home-services/1-asx-transport-01,tamilbusinessdirectory.com
#1 Express A.D.R Duct & Carpet Cleaning,Home Services,,Scarborough,Ontario,,4168375023,,,,,,,https://www.tamilbusinessdirectory.com/canada/scarborough/home-services/1-express-a-d-r-duct-carpet-cleaning,tamilbusinessdirectory.com
#1 Express Service Kiskintha Carpet & Duct Cl,Home Services,,Toronto,Ontario,,416-732-4574,,,,,,,https://www.tamilbusinessdirectory.com/canada/toronto/home-services/1-express-service-kiskintha-carpet-duct-cl,tamilbusinessdirectory.com
#1 Express Service Kiskintha Duct Cleaning,Home Services,,Toronto,Ontario,,416-732-4574,,,,,,,https://www.tamilbusinessdirectory.com/canada/toronto/home-services/1-express-service-kiskintha-duct-cleaning,tamilbusinessdirectory.com
#1 Inhome Comfort,1 Inhome Comfort,,Toronto,Ontario,,416-880-4889,,,http://www.inhomecomfort.com,,,,https://www.tamilbusinessdirectory.com/canada/home-services/1-inhome-comfort,tamilbusinessdirectory.com
#1 Inhome Comfort Inc.,Home Services,,Toronto,Ontario,,416-272-8543,,,,,,,https://www.tamilbusinessdirectory.com/canada/toronto/home-services/1-inhome-comfort-inc,tamilbusinessdirectory.com
#1 roofing company,1 Roofing Company,,Toronto,Ontario,,,,,,,,,https://www.tamilbusinessdirectory.com/canada/home-services/1-roofing-company,tamilbusinessdirectory.com
#1 Thermodynamic environmental Solution Inc,Home Services,3520 McNicoll Ave,Scarborough,Ontario,M1V 4C5,4168804889,,,,,,,https://www.tamilbusinessdirectory.com/canada/scarborough/home-services/1-thermodynamic-environmental-solution-inc,tamilbusinessdirectory.com
#1Rubyaka Transport,1Rubyaka Transport,,Toronto,Ontario,,416-826-6575,,,,,,,https://www.tamilbusinessdirectory.com/canada/home-services/1rubyaka-transport,tamilbusinessdirectory.com
1 A & G Maintenance,Home Services,,Toronto,Ontario,M3A 2A2,416-431-3322,,,,,,,https://www.tamilbusinessdirectory.com/canada/toronto/home-services/1-a-g-maintenance,tamilbusinessdirectory.com
1 A Home Electric & Plumbing Services,Home Services,,Toronto,Ontario,,905-458-7793,,,,,,,https://www.tamilbusinessdirectory.com/canada/toronto/home-services/1-a-home-electric-plumbing-services,tamilbusinessdirectory.com
1 A Rupan Pest Control,1 A Rupan Pest Control,,Toronto,Ontario,,416-291-3997,,,http://www.rupaanpestcontrol.com,,,,https://www.tamilbusinessdirectory.com/canada/home-services/1-a-rupan-pest-control,tamilbusinessdirectory.com
1 HOME ELECTRIC & PLUMBING SERVICES,Home Services,,Toronto,Ontario,,9054587793,,,,,,,https://www.tamilbusinessdirectory.com/canada/toronto/home-services/1-home-electric-plumbing-services,tamilbusinessdirectory.com
1 KNK Paint Inc,1 Knk Paint Inc,,Toronto,Ontario,,905-653-5128,,,,,,,https://www.tamilbusinessdirectory.com/canada/home-services/1-knk-paint-inc,tamilbusinessdirectory.com
1 Loyal Pest Control,1 Loyal Pest Control,,Toronto,Ontario,,416-464-2415,,,http://www.loyalpc.ca,,,,https://www.tamilbusinessdirectory.com/canada/home-services/1-loyal-pest-control,tamilbusinessdirectory.com
1 National Kitchen Cabinet Ltd.,Home Services,,Toronto,Ontario,,4165609926,,,,,,,https://www.tamilbusinessdirectory.com/canada/toronto/home-services/1-national-kitchen-cabinet-ltd,tamilbusinessdirectory.com
1 on 1 home inspection services,Real Estate,168 Kingslake Road,Toronto,Ontario,M2J 3G3,4169945054,,,,,,,https://www.tamilbusinessdirectory.com/canada/toronto/real-estate/1-on-1-home-inspection-services,tamilbusinessdirectory.com
24 Hr Heating & Air Conditioning,24 Hr Heating Air Conditioning,,Toronto,Ontario,,647-294-5932,,,,,,,https://www.tamilbusinessdirectory.com/canada/home-services/24-hr-heating-air-conditioning,tamilbusinessdirectory.com
24-7 Glass Repair,Miscellaneous 1,66 Ryder Crescent,Ajax,Ontario,L1Z 1X9,647-799-5575,,,,,,,https://www.tamilbusinessdirectory.com/canada/ajax/miscellaneous-1/24-7-glass-repair,tamilbusinessdirectory.com
2MARKETING SEO & WEB DESIGN TORONTO,Business Professional,349 Bowes Rd #19,Concord,Ontario,L4K 1J3,416-417-9595,,,,,,,https://www.tamilbusinessdirectory.com/canada/concord/business-professional/2marketing-seo-web-design-toronto,tamilbusinessdirectory.com
3 Tier Solutions,Education Training,,Toronto,Ontario,,6479228013,,,,,,,https://www.tamilbusinessdirectory.com/canada/toronto/education-training/3-tier-solutions,tamilbusinessdirectory.com
