name,category,address,city,province,postal,phone,whatsapp,email,website,facebook,instagram,other_social,source_url,source
Maha Ganapati Temple,Temples,128 Running Creek Rd,Edmonton,AB,T6J 7B1,780-988-5161,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/maha-ganapati-temple,vanakkamcanada.ca
Winnipeg Murugan,Temples,"999, St. Annes Road",Winnipeg,MB,,204-257-6913,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/winnipeg-murugan,vanakkamcanada.ca
Sri Ganesha Durga Hindu Temple,Temples,"7220 Tranmere Drive Mississauga, ON L5S1L6",,ON,L5S 1L6,905-405-0011,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/sri-ganesha-durga-hindu-temple,vanakkamcanada.ca
Arulmigu Bhuvaneswari Amman Temple,Temples,"230, Wilkinson Road,",Brampton,ON,L6T 4J2,905-459-7042,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/arulmigu-bhuvaneswari-amman-temple,vanakkamcanada.ca
Sir Katpakavinayakar Thevasthanam,Temples,200 Advance Blvd #21,Brampton,ON,L6T 4V4,905-458-9701,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/sir-katpakavinayakar-thevasthanam,vanakkamcanada.ca
Sri Katpaga Vinayagar Temple,Temples,200 Advance Blvd 21,Brampton,ON,L6T 4V4,905-458-9701,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/sri-katpaga-vinayagar-temple,vanakkamcanada.ca
Cornwall Shivan Temple,Temples,1730 Vincent Massey Drive,Cornwall,ON,K6H 5R6,416-939-4921,,,,https://web.facebook.com/profile.php,https://www.instagram.com/cornwallshivan/,https://www.youtube.com/@CornwallShivanTempleCanada/,https://vanakkamcanada.ca/tamil-business-listings/cornwall-shivan-temple,vanakkamcanada.ca
Sri Murugan Temple Waterloo,Temples,P.O.Box : 2503,Kitchener,ON,N2A 4A5,226-747-3376,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/sri-murugan-temple-waterloo,vanakkamcanada.ca
Sri Meenakshy Amman Temple,Temples,585 Middlefield Road 21 Scarborough,MIV 4Y5,ON,MIV 4Y5,416-358-2441,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/sri-meenakshy-amman-temple,vanakkamcanada.ca
Canada Sri Siva Satyanarayana Temple,Temples,"1325 Matheson Blvd, Mississauga, ON, L4W1R1",Mississauga,ON,L4W 1R1,905-282-0108,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/canada-sri-siva-satyanarayana-temple,vanakkamcanada.ca
Canada Sri Sivasatyanarayana Swami Temple,Temples,"1325 Matheson Blvd, Mississauga, ON",Mississauga,ON,L4W 1R1,905-282-0108,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/canada-sri-sivasatyanarayana-swami-temple,vanakkamcanada.ca
Jeya Durga Mississauga,Temples,"1808 Drew Road, Mississauga, ON, L5S1J6",Mississauga,ON,L5S 1J6,905-612-1856,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/jeya-durga-mississauga,vanakkamcanada.ca
Jeyadhurga Thevasthanam Mississauga,Temples,1808 Drew Road,Mississauga,ON,L5S 1J6,905-612-1856,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/jeyadhurga-thevasthanam-mississauga,vanakkamcanada.ca
Mississauga - JeyaThurka Temple,Temples,1808 Drew Road,Mississauga,ON,L5S 1J6,905-612-1856,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/mississauga-jeyathurka-temple,vanakkamcanada.ca
Mississauga Jeya Durka Thevasthanam,Temples,1808 Drew Rd,Mississauga,ON,L5S 1J6,905-612-1856,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/mississauga-jeya-durka-thevasthanam,vanakkamcanada.ca
Sri Ganesha Durga Hindu temple Of Mississauga,Temples,7220 Tranmere Drive,Mississauga,ON,L5S 1L6,905-405-0011,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/sri-ganesha-durga-hindu-temple-of-mississauga,vanakkamcanada.ca
Sri Muthu Maari Ambal Temple,Temples,1314 Britannia Road East 21,Mississauga,ON,L4W 1C8,905-795-8542,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/sri-muthu-maari-ambal-temple,vanakkamcanada.ca
Sri Muthumari Ambal Thevasthanam,Temples,1314 Brittania Rd E,Mississauga,ON,L4W 1C8,905-795-8389,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/sri-muthumari-ambal-thevasthanam10921,vanakkamcanada.ca
Temple (Derry and Dixie),Temples,1808 Drew Road,Mississauga,ON,L5S 1J6,905-612-1856,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/temple-derry-and-dixie,vanakkamcanada.ca
Sri Rajarajeswary Peedam,Temples,"673 8th Ave., Valmonin",Montreal,ON,,819-322-1379,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/sri-rajarajeswary-peedam,vanakkamcanada.ca
