name,category,address,city,province,postal,phone,whatsapp,email,website,facebook,instagram,other_social,source_url,source
Global KnowIedge,Education Centers,201 Portage Ave # 1903,Winnipeg,MB,R3B 3K6,204-943-0726,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/global-knowiedge,vanakkamcanada.ca
Galaxy Toppers,Education Centers,"Unit 205, 85 Ellesmere Road, Parkway Mall, Toronto, M1R4B9",85 Ellesmere Road,ON,M1R 4B9,647-995-7157,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/galaxy-toppers,vanakkamcanada.ca
Balavimala Narthanalayam - Bharathanatyam Dance Classes,Education Centers Fine Arts,,Ajax,ON,,647-713-0766,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/balavimala-narthanalayam-bharathanatyam-dance-classes,vanakkamcanada.ca
Bursary Program,Education Scholarship & Funds,,Ajax,ON,,877-786-3999,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/bursary-program,vanakkamcanada.ca
Canada Child Tax Benefit,Education Scholarship & Funds,,Ajax,ON,,800-387-1193,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/canada-child-tax-benefit,vanakkamcanada.ca
Layamadhuraa Percussive Arts Centre of Canada,Education Centers Fine Arts,,Ajax,ON,,647-299-8408,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/layamadhuraa-percussive-arts-centre-of-canada,vanakkamcanada.ca
S.J Prasanth - Laya Tharangam Mridangam Lessons,Education Centers Fine Arts,21 Barnfield Crescent,Ajax,ON,,647-746-6934,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/s-j-prasanth-laya-tharangam-mridangam-lessons,vanakkamcanada.ca
Sitpi Acadamy - Tamil Language School,Education Centers,"15 Harwood Ave South, #204",Ajax,ON,L1S 2B9,647-209-7449,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/sitpi-acadamy-tamil-language-school,vanakkamcanada.ca
Ontario Academy of Fine Arts,Education Centers Fine Arts,880 Ellesmere Rd #203,B Scarborough,ON,M1P 2W6,416-609-8314,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/ontario-academy-of-fine-arts,vanakkamcanada.ca
Nuclues University,Education Centers,"2250 Bovaird Dr. E. Suite 114, Brampton, ON, L6R0W3",Brampton,ON,L6R 0W3,416-545-7080,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/nuclues-university,vanakkamcanada.ca
Peel Tae Kwon Do Family Martial Arts Centre Inc,Education Centers Fine Arts,170 Bovaird Drive 9,Brampton,ON,L7A 1A1,905-840-5268,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/peel-tae-kwon-do-family-martial-arts-centre-inc,vanakkamcanada.ca
Prem Tutoring,Education Centers,Castlemore &amp; The Gore Road,Brampton,ON,L6P 3C6,905-915-3683,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/prem-tutoring,vanakkamcanada.ca
Tutoring  Home Work,Education Centers,Brampton,Brampton,ON,,416-299-9183,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/tutoring-home-work,vanakkamcanada.ca
Baratha Sudamani Kalai Kudam,Education Centers Fine Arts,Brampton,Brampton Toronto,ON,,905-792-6610,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/baratha-sudamani-kalai-kudam,vanakkamcanada.ca
Harshodaya Nadana Palee,Education Centers Fine Arts,McCowan &,Bur Oak Toronto,ON,,905-209-9599,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/harshodaya-nadana-palee,vanakkamcanada.ca
Alpha Learning Center,Education Centers,Markham &,Denison Toronto,ON,,416-642-4908,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/alpha-learning-center,vanakkamcanada.ca
Laya Bhava Dance Academy,Education Centers Fine Arts,Markham &,Denison Toronto,ON,,905-472-3498,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/laya-bhava-dance-academy,vanakkamcanada.ca
Navarasakkala Mantram,Education Centers Fine Arts,Markham &,Denison Toronto,ON,,416-686-7709,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/navarasakkala-mantram,vanakkamcanada.ca
ORROE Inspiring Your Minds,Education Centers,"3040 Danforth Ave, Unit#5, East York, ON, M4C1N2",East York,ON,M4C 1N2,416-710-2451,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/orroe-inspiring-your-minds,vanakkamcanada.ca
Bhairavi Music Academy,Education Centers Fine Arts,Kennedy &,Ellesmere Toronto,ON,,416-283-9598,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/bhairavi-music-academy,vanakkamcanada.ca
Nathalaya School of Classical Music,Education Centers Fine Arts,Morningside &,Ellesmere Toronto,ON,,416-282-1166,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/nathalaya-school-of-classical-music,vanakkamcanada.ca
Sithampara Kalai Mantra Dance Academy,Education Centers Fine Arts,Kennedy &,Ellesmere Toronto,ON,,416-493-9735,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/sithampara-kalai-mantra-dance-academy,vanakkamcanada.ca
Tution,Education Centers,Kennedy &,Ellesmere Toronto,ON,,416-284-0382,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/tution,vanakkamcanada.ca
Experts Education Centre,Education Centers,"GTA Square Mall, Unit214, 5215 Finch Ave E., Scarborough, ON, M1S0C2",GTA Square Mall,ON,M1S 0C2,647-709-1298,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/experts-education-centre,vanakkamcanada.ca
Upper Grand District School Board Continuing Education,Education Centers,1428 Gordon St,Guelph,ON,N1L 1C8,519-836-7280,,,,,,,https://vanakkamcanada.ca/tamil-business-listings/upper-grand-district-school-board-continuing-education,vanakkamcanada.ca
